Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,1.990000,2.000000,1.900000,1.970000,1.970000,59700
2020-02-14,1.970000,2.150000,1.970000,2.120000,2.120000,59700
2020-02-18,2.230000,2.490000,2.120000,2.350000,2.350000,166800
2020-02-19,2.340000,2.350000,1.880000,2.070000,2.070000,89100
2020-02-20,2.110000,2.250000,2.050000,2.180000,2.180000,32300
2020-02-21,2.230000,2.250000,2.140000,2.150000,2.150000,55100
2020-02-24,2.100000,2.200000,2.020000,2.140000,2.140000,62200
2020-02-25,2.120000,2.120000,1.910000,1.910000,1.910000,54500
2020-02-26,1.890000,2.080000,1.880000,1.960000,1.960000,31800
2020-02-27,1.900000,2.090000,1.700000,2.060000,2.060000,95200
2020-02-28,2.040000,2.100000,1.970000,2.050000,2.050000,45700
2020-03-02,2.020000,2.120000,2.000000,2.040000,2.040000,52600
2020-03-03,2.010000,2.020000,1.950000,2.000000,2.000000,32700
2020-03-04,2.000000,2.110000,1.820000,2.000000,2.000000,33000
2020-03-05,1.880000,2.050000,1.880000,1.980000,1.980000,15900
2020-03-06,1.920000,1.990000,1.880000,1.900000,1.900000,16600
2020-03-09,1.710000,1.810000,1.650000,1.680000,1.680000,53700
2020-03-10,1.700000,1.740000,1.620000,1.640000,1.640000,75500
2020-03-11,1.660000,1.750000,1.550000,1.550000,1.550000,49200
2020-03-12,1.520000,1.520000,1.290000,1.310000,1.310000,98400
2020-03-13,1.290000,1.300000,1.250000,1.260000,1.260000,95700
2020-03-16,1.250000,1.580000,1.150000,1.190000,1.190000,48600
2020-03-17,1.200000,1.450000,1.200000,1.370000,1.370000,47700
2020-03-18,1.300000,1.400000,1.150000,1.210000,1.210000,51600
2020-03-19,1.260000,1.330000,1.180000,1.240000,1.240000,63700
2020-03-20,1.250000,1.340000,1.250000,1.260000,1.260000,22000
2020-03-23,1.220000,1.300000,1.120000,1.210000,1.210000,35700
2020-03-24,1.190000,1.350000,1.190000,1.290000,1.290000,39500
2020-03-25,1.290000,1.360000,1.280000,1.300000,1.300000,34800
2020-03-26,1.300000,1.490000,1.300000,1.340000,1.340000,42300
2020-03-27,1.340000,1.370000,1.250000,1.290000,1.290000,16400
2020-03-30,1.260000,1.380000,1.250000,1.260000,1.260000,39300
2020-03-31,1.280000,1.420000,1.270000,1.400000,1.400000,45500
2020-04-01,1.380000,1.380000,1.250000,1.320000,1.320000,24000
2020-04-02,1.340000,1.360000,1.300000,1.320000,1.320000,11600
